Company Name,Contact Name,Title,Email,LinkedIn URL,Phone,Company Size,Funding Stage,Industry,Pain Points,Personalization Hook,Outreach Sent,Response Received,Call Scheduled,Proposal Sent,Deal Status,Deal Value,Notes
[Company 1],,,,,,20-200,Series A,SaaS,,,,,,,Not Contacted,,,
[Company 2],,,,,,50-500,Seed,B2B,,,,,,,Not Contacted,,,
[Company 3],,,,,,10-100,Series A,Fintech,,,,,,,Not Contacted,,,
[Company 4],,,,,,100-1000,Series B,Healthcare,,,,,,,Not Contacted,,,
[Company 5],,,,,,20-200,Seed,AI/ML,,,,,,,Not Contacted,,,
[Company 6],,,,,,50-500,Series A,E-commerce,,,,,,,Not Contacted,,,
[Company 7],,,,,,10-100,Seed,DevTools,,,,,,,Not Contacted,,,
[Company 8],,,,,,200-1000,Series B,Enterprise,,,,,,,Not Contacted,,,
[Company 9],,,,,,20-200,Series A,MarTech,,,,,,,Not Contacted,,,
[Company 10],,,,,,50-500,Seed,Sales Tech,,,,,,,Not Contacted,,,
[Company 11],,,,,,,,,,,,,,,Not Contacted,,,
[Company 12],,,,,,,,,,,,,,,Not Contacted,,,
[Company 13],,,,,,,,,,,,,,,Not Contacted,,,
[Company 14],,,,,,,,,,,,,,,Not Contacted,,,
[Company 15],,,,,,,,,,,,,,,Not Contacted,,,
[Company 16],,,,,,,,,,,,,,,Not Contacted,,,
[Company 17],,,,,,,,,,,,,,,Not Contacted,,,
[Company 18],,,,,,,,,,,,,,,Not Contacted,,,
[Company 19],,,,,,,,,,,,,,,Not Contacted,,,
[Company 20],,,,,,,,,,,,,,,Not Contacted,,,
